[2020-08-26 01:04:58.672] Starting up round ID .
 - -------------------------
[2020-08-26 01:06:54.328] TCOMMS: The �Automated Announcement System [Common] (spans: robot ) "Cockmistress has signed up as Captain" (language: Galactic Common) (Telecomms Control Room (107, 93, 2))
[2020-08-26 01:07:00.021] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:07:02.117] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:09:18.280] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:09:40.281] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:10:54.279] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (116, 83, 2))
[2020-08-26 01:11:06.279] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (118, 81, 2))
[2020-08-26 01:12:06.390] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (116, 81, 2))
[2020-08-26 01:12:22.388] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:12:32.737] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:12:34.430] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:12:40.431] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:12:50.430] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:13:18.433] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:14:10.431] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:15:26.436] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:17:02.870] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:18:06.888] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:19:10.932] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
