[2020-08-28 04:02:40.776] Starting up round ID .
 - -------------------------
[2020-08-28 04:13:33.535] Logs from logging subsystem:
 - (2020-08-28 01:04:39) ATTACK: Bob Joga/(Cockmistress) has suffered: Rough Abrasion to chest | Damage: 13.5(rolled 34/38.2355) | WB: -5 | BWB: 10 (Armory (114, 172, 2))
 - (2020-08-28 01:04:39) ATTACK: Bob Joga/(Cockmistress) has attacked Bob Joga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Armory (114, 172, 2))
 - (2020-08-28 01:04:40) ATTACK: Bob Joga/(Cockmistress) has attacked Bob Joga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Armory (114, 172, 2))
 - (2020-08-28 01:04:41) ATTACK: Bob Joga/(Cockmistress) has suffered: Rough Abrasion to right leg | Damage: 13.5(rolled 24/38.2355) | WB: -5 | BWB: 10 (Armory (114, 172, 2))
 - (2020-08-28 01:04:41) ATTACK: Bob Joga/(Cockmistress) has attacked Bob Joga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Armory (114, 172, 2))
 - (2020-08-28 01:04:42) ATTACK: Bob Joga/(Cockmistress) has attacked Bob Joga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Armory (114, 172, 2))
 - (2020-08-28 01:04:42) ATTACK: Bob Joga/(Cockmistress) has attacked Bob Joga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Armory (114, 172, 2))
 - (2020-08-28 01:04:43) ATTACK: Bob Joga/(Cockmistress) has attacked Bob Joga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Armory (114, 172, 2))
 - (2020-08-28 01:05:01) ATTACK: Bob Joga/(Cockmistress) has attacked Bob Joga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Brig (116, 170, 2))
 - (2020-08-28 01:05:20) ATTACK: Bob Joga/(Cockmistress) has attacked Bob Joga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 98)  (Brig (107, 171, 2))
 - (2020-08-28 01:05:21) ATTACK: Bob Joga/(Cockmistress) has attacked Bob Joga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 98)  (Brig (110, 171, 2))
