[2020-09-11 22:36:14.662] Starting up round ID .
 - -------------------------
[2020-09-11 22:38:16.864] TCOMMS: The �Automated Announcement System [Medical] (spans: robot ) "Pedro Ilurdoz, Chief Medical Officer, is the department head." (language: Galactic Common) (Telecomms Control Room (107, 93, 2))
[2020-09-11 22:41:20.914] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
[2020-09-11 22:41:26.917] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 80, 2))
[2020-09-11 22:41:30.918] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 80, 2))
[2020-09-11 22:41:54.923] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 80, 2))
[2020-09-11 22:42:20.923] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
[2020-09-11 22:42:40.936] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (116, 80, 2))
[2020-09-11 22:42:50.974] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (117, 80, 2))
[2020-09-11 22:43:39.065] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 80, 2))
[2020-09-11 22:43:59.075] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
[2020-09-11 22:44:01.072] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
[2020-09-11 22:44:19.083] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 80, 2))
