[2020-09-26 20:44:35.160] Starting up round ID .
 - -------------------------
[2020-09-26 20:48:03.504] TCOMMS: The �Automated Announcement System [Medical] (spans: robot ) "Cock Advisor, Chief Medical Officer, is the department head." (language: Galactic Common) (Telecomms Control Room (107, 93, 2))
[2020-09-26 20:48:31.972] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-09-26 20:48:44.936] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-09-26 20:49:26.981] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "...0." (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
[2020-09-26 20:50:14.718] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-09-26 20:50:52.128] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
[2020-09-26 20:50:58.907] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "...0." (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
[2020-09-26 20:51:12.276] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-09-26 20:52:26.240] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-09-26 20:53:38.192] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
[2020-09-26 20:53:50.558] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
[2020-09-26 20:54:37.672] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-09-26 20:54:46.596] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-09-26 20:55:22.944] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (116, 80, 2))
[2020-09-26 20:55:37.665] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-09-26 20:55:59.875] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
